03 Mar 08:00,03 Jun 08:00,03 Sep 08:00,03 Mar 12:00,03 Jun 12:00,03 Sep 12:00,03 Mar 16:00,03 Jun 16:00,03 Sep 16:00,03 Mar 20:00,03 Jun 20:00,03 Sep 20:00
0.342373,0.618919,0.510157,0.102184,0.172697,0.106539,0.076861,0.107113,0.084239,0,0.000542,0
0.342334,0.618735,0.510038,0.102297,0.172645,0.106627,0.076912,0.107184,0.084279,0,0.000543,0
0.342627,0.619109,0.510403,0.102374,0.172871,0.106705,0.076958,0.107237,0.084335,0,0.000543,0
0.342578,0.619068,0.510352,0.102373,0.172861,0.106704,0.076958,0.107238,0.084335,0,0.000543,0
0.342452,0.619238,0.510351,0.102276,0.17309,0.106617,0.076917,0.107251,0.084258,0,0.000543,0
0.342501,0.619285,0.510405,0.102277,0.173105,0.106618,0.076917,0.107251,0.084258,0,0.000543,0
0.34027,0.616295,0.507544,0.10239,0.171601,0.106702,0.076964,0.107173,0.084392,0,0.000542,0
0.341072,0.618891,0.50928,0.102346,0.173775,0.106711,0.077018,0.107508,0.084338,0,0.000545,0
0.342673,0.619167,0.510459,0.102451,0.172938,0.106781,0.077003,0.107278,0.084396,0,0.000543,0
0.342628,0.619134,0.510413,0.102449,0.172935,0.10678,0.077003,0.107279,0.084395,0,0.000543,0
0.342624,0.6191,0.510397,0.102374,0.172863,0.106705,0.076958,0.107236,0.084336,0,0.000543,0
0.3398,0.616709,0.50743,0.102324,0.17235,0.10666,0.076972,0.107321,0.084346,0,0.000543,0
0.34265,0.619354,0.510535,0.102284,0.173073,0.106623,0.076916,0.107237,0.084261,0,0.000543,0
0.342575,0.619199,0.510413,0.102287,0.172962,0.106623,0.076914,0.107222,0.084265,0,0.000543,0
0.342415,0.619103,0.510264,0.10228,0.172972,0.106618,0.076915,0.107233,0.084263,0,0.000543,0
0.342534,0.619005,0.510295,0.102293,0.172784,0.106625,0.076912,0.107194,0.084272,0,0.000543,0
0.34239,0.618984,0.510192,0.102285,0.172864,0.10662,0.076914,0.107216,0.084268,0,0.000543,0
0.342583,0.619076,0.510359,0.102372,0.172866,0.106704,0.076958,0.107238,0.084335,0,0.000543,0
0.342629,0.619139,0.510417,0.102449,0.17294,0.106779,0.077003,0.10728,0.084395,0,0.000543,0
0.342579,0.619071,0.510354,0.102372,0.172864,0.106704,0.076958,0.107238,0.084335,0,0.000543,0
0.342578,0.619068,0.510352,0.102373,0.172861,0.106704,0.076958,0.107238,0.084335,0,0.000543,0
0.342581,0.619072,0.510356,0.102373,0.172863,0.106704,0.076958,0.107238,0.084335,0,0.000543,0
0.342578,0.619068,0.510352,0.102373,0.172861,0.106704,0.076958,0.107238,0.084335,0,0.000543,0
0.342626,0.619133,0.510412,0.102449,0.172936,0.106779,0.077003,0.107279,0.084395,0,0.000543,0
0.342665,0.619291,0.510511,0.102444,0.173075,0.106778,0.077005,0.107301,0.084389,0,0.000543,0
0.342795,0.619304,0.510603,0.102453,0.172998,0.106784,0.077004,0.107282,0.084395,0,0.000543,0
0.342673,0.619165,0.510458,0.102451,0.172937,0.106781,0.077003,0.107277,0.084396,0,0.000543,0
0.342835,0.619403,0.510675,0.102452,0.173075,0.106784,0.077005,0.107292,0.084392,0,0.000543,0
0.342985,0.619564,0.510849,0.102456,0.173142,0.106789,0.077006,0.107297,0.084391,0,0.000543,0
0.342768,0.619598,0.510723,0.102436,0.173329,0.106776,0.077008,0.107338,0.084379,0,0.000544,0
0.342762,0.619595,0.510717,0.102436,0.173329,0.106775,0.077008,0.107339,0.084379,0,0.000544,0
0.342723,0.619553,0.510672,0.102435,0.173312,0.106774,0.077008,0.107338,0.084379,0,0.000544,0
0.342869,0.61934,0.510668,0.102458,0.172987,0.106788,0.077004,0.107278,0.084397,0,0.000543,0
0.342629,0.619137,0.510415,0.102449,0.172937,0.106779,0.077003,0.107279,0.084395,0,0.000543,0
0.342651,0.619234,0.510476,0.102445,0.173024,0.106778,0.077004,0.107293,0.084391,0,0.000543,0
0.342554,0.619063,0.510332,0.102448,0.172912,0.106779,0.077003,0.10728,0.084396,0,0.000543,0
0.342442,0.619075,0.510264,0.102439,0.173004,0.106773,0.077004,0.107301,0.08439,0,0.000543,0
0.342478,0.619008,0.510256,0.102446,0.172908,0.106777,0.077003,0.107284,0.084396,0,0.000543,0
0.342746,0.619525,0.510674,0.102438,0.173267,0.106776,0.077007,0.107329,0.084381,0,0.000544,0
0.342551,0.619148,0.51037,0.102442,0.173004,0.106775,0.077004,0.107295,0.084391,0,0.000543,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
0.138161,0.435206,0.291705,0.692532,0.848426,0.826316,0.273362,0.326933,0.463814,0,0.000994,0
