Sun And Wind,Sun and No Wind,No Sun and Wind,No Sun and No Wind
-32.780963,-7.528339,-32.409001,-6.962985
-32.74105,-7.364412,-32.534076,-7.050307
-32.854521,-7.433964,-32.659897,-7.138436
-32.697629,-7.285916,-32.52062,-7.018021
-32.478177,-7.138785,-32.244948,-6.787421
-32.197219,-6.806021,-32.104196,-6.666571
-31.70408,-6.258161,-31.83041,-6.446151
-31.35661,-5.928003,-31.550342,-6.214536
-31.288553,-6.015852,-31.273573,-5.993736
-30.999501,-5.775205,-30.990155,-5.76148
-30.799919,-5.569646,-30.84001,-5.62826
-30.47676,-5.283286,-30.55387,-5.395387
-30.382186,-5.33798,-30.276985,-5.185239
-29.812865,-4.800727,-29.857399,-4.864906
-29.553661,-4.616826,-29.572315,-4.643601
-29.585249,-4.662174,-29.572315,-4.643601
-29.582403,-4.752698,-29.429305,-4.532962
-29.61427,-4.798535,-29.429305,-4.532962
-28.047555,-2.674687,-29.279425,-4.410036
-27.020877,-1.444434,-28.984965,-4.176285
-26.009173,-0.169915,-28.833866,-4.053193
-25.256526,0.560899,-28.412397,-3.746111
-25.587945,-0.150046,-27.99845,-3.45406
-26.306456,-1.396519,-27.576823,-3.150971
-28.386253,-4.193041,-27.706083,-3.23363
-28.542549,-4.220955,-27.990423,-3.440746
-29.191703,-5.047604,-28.121015,-3.524993
-29.742731,-5.551332,-28.550625,-3.844089
-29.962579,-5.581844,-28.984965,-4.176285
-29.756384,-4.99303,-29.41046,-4.496661
-29.696805,-4.718323,-29.696917,-4.718484
-29.762177,-4.620754,-29.976636,-4.928816
-30.109849,-4.929184,-30.255722,-5.139631
-30.453633,-5.328073,-30.392614,-5.239697
-30.86234,-5.824335,-30.529559,-5.340042
-31.245163,-6.291564,-30.670891,-5.451347
-31.405924,-6.529033,-30.670891,-5.451347
-31.118123,-6.199381,-30.529559,-5.340042
-31.08601,-6.152158,-30.529559,-5.340042
-31.57199,-6.871141,-30.529559,-5.340042
-31.053937,-6.105033,-30.529559,-5.340042
-31.6703,-7.017742,-30.529559,-5.340042
-29.119031,-3.418381,-30.38333,-5.217872
-27.978166,-2.017809,-30.098824,-4.995093
-27.497804,-1.451889,-29.956095,-4.883711
-26.847901,-0.932848,-29.38744,-4.449758
-27.242473,-1.742835,-28.965942,-4.139856
-27.738685,-2.798776,-28.398269,-3.720814
-28.837078,-4.433643,-28.245542,-3.597512
-28.495242,-4.037217,-28.085716,-3.461769
-28.422779,-4.026243,-27.93231,-3.338459
-29.114733,-4.627736,-28.517906,-3.782657
-29.210315,-4.381874,-29.09318,-4.215671
-29.925144,-5.027183,-29.669694,-4.660976
-29.222505,-4.11832,-29.526026,-4.549626
-29.3414,-4.474307,-29.237767,-4.326971
-28.859037,-3.884798,-29.09318,-4.215671
-28.065021,-3.429727,-28.079142,-3.449459
-27.127305,-2.786199,-27.045414,-2.67328
-26.455015,-2.525558,-26.006531,-1.912802
-26.287379,-2.295849,-26.006531,-1.912802
-26.319452,-2.434574,-25.856028,-1.802551
-26.285759,-2.388417,-25.856028,-1.802551
-26.488687,-2.571797,-26.006531,-1.912802
-26.354289,-2.387437,-26.006531,-1.912802
-26.256986,-2.159795,-26.15678,-2.023113
-24.800713,-0.387251,-25.873061,-1.829792
-24.252821,0.245694,-25.731431,-1.733622
-23.905633,0.518189,-25.44867,-1.542277
-22.938234,1.595882,-25.136791,-1.308654
-23.378503,0.838872,-24.823686,-1.075148
-23.71183,0.216168,-24.509386,-0.841778
-24.616292,-1.082544,-24.376676,-0.761496
-24.735634,-1.341085,-24.244995,-0.682081
-24.348729,-0.917545,-24.114378,-0.603552
-24.27523,-0.723137,-24.255831,-0.697177
-24.425407,-0.827688,-24.386983,-0.776258
-24.653456,-1.037425,-24.52917,-0.870781
-24.686726,-0.891465,-24.823686,-1.075148
-25.004797,-1.220807,-24.956853,-1.156387
-25.270956,-1.388383,-25.251507,-1.362182
-25.413053,-1.58218,-25.260368,-1.376027
-25.156482,-1.237775,-25.269418,-1.389993
-25.189496,-1.282236,-25.269418,-1.389993
-25.326816,-1.37304,-25.420701,-1.499846
-25.600899,-1.55489,-25.722525,-1.719747
-25.704894,-1.601521,-25.873061,-1.829792
-25.696095,-1.587788,-25.864453,-1.816112
-25.964049,-1.857184,-26.014846,-1.92629
-26.12094,-2.068573,-26.006531,-1.912802
-24.710046,-0.358573,-25.713806,-1.705995
-23.855401,0.492223,-25.260368,-1.376027
-23.41531,0.883218,-24.966122,-1.170493
-23.427062,0.867888,-24.975585,-1.184723
-23.494717,0.779562,-24.985244,-1.199079
-23.93682,0.198359,-24.995101,-1.213563
-24.762756,-0.994605,-24.833456,-1.089574
-24.71979,-0.935764,-24.823686,-1.075148
-24.439568,-0.654217,-24.661867,-0.951276
-24.505655,-0.742395,-24.661867,-0.951276
-24.344069,-0.622328,-24.519178,-0.856216
-24.420414,-0.72529,-24.52917,-0.870781
-24.300992,-0.563778,-24.509386,-0.841778
-24.119183,-0.415,-24.346972,-0.717976
-24.033552,-0.298705,-24.328159,-0.689585
-23.748416,-0.203527,-23.867701,-0.361189
-23.044543,0.347125,-23.240832,0.089975
-22.96198,0.172907,-22.775514,0.416756
-22.131185,0.782894,-22.006539,0.944533
-21.331124,1.34402,-21.233917,1.469094
-20.904504,1.608668,-20.761629,1.791655
-20.624398,1.872712,-20.603845,1.898964
-20.785119,1.667985,-20.592126,1.91463
-20.916435,1.595341,-20.738605,1.822742
-20.437755,2.48552,-21.245465,1.453553
-19.862623,3.213315,-21.269229,1.422092
-19.444827,3.742274,-21.30659,1.373919
-18.848654,4.206655,-20.823128,1.711746
-19.77516,3.138586,-20.967575,1.620819
-20.115298,2.708827,-20.967575,1.620819
-21.825572,0.604844,-21.124604,1.513546
-21.664991,0.909205,-21.293904,1.390111
-22.137914,0.674407,-21.931278,0.943882
-22.699525,0.319786,-22.552863,0.512272
-22.973122,0.245573,-23.005414,0.203077
-23.631926,-0.24498,-23.621647,-0.23135
-24.159451,-0.662793,-24.092264,-0.573087
-24.740632,-1.156861,-24.549766,-0.900299
-25.063035,-1.307253,-25.015422,-1.242922
-25.901325,-1.969734,-25.759293,-1.775995
-26.665761,-2.63718,-26.34905,-2.201393
-27.198067,-2.896813,-27.08395,-2.738705
-26.707595,-2.696899,-26.358059,-2.215344
-26.043387,-2.16555,-25.768969,-1.790375
-25.150245,-1.426798,-25.036562,-1.272812
-25.655703,-1.923823,-25.338248,-1.491309
