19 Mar 08:00,19 Mar 09:00,19 Mar 10:00,19 Mar 11:00,19 Mar 12:00,19 Mar 13:00,19 Mar 14:00,19 Mar 15:00,19 Mar 16:00,19 Mar 17:00,19 Mar 18:00,19 Mar 19:00,19 Mar 20:00,19 Mar 21:00,19 Mar 22:00,20 Mar 08:00,20 Mar 09:00,20 Mar 10:00,20 Mar 11:00,20 Mar 12:00,20 Mar 13:00,20 Mar 14:00,20 Mar 15:00,20 Mar 16:00,20 Mar 17:00,20 Mar 18:00,20 Mar 19:00,20 Mar 20:00,20 Mar 21:00,20 Mar 22:00,21 Mar 08:00,21 Mar 09:00,21 Mar 10:00,21 Mar 11:00,21 Mar 12:00,21 Mar 13:00,21 Mar 14:00,21 Mar 15:00,21 Mar 16:00,21 Mar 17:00,21 Mar 18:00,21 Mar 19:00,21 Mar 20:00,21 Mar 21:00,21 Mar 22:00,22 Mar 08:00,22 Mar 09:00,22 Mar 10:00,22 Mar 11:00,22 Mar 12:00,22 Mar 13:00,22 Mar 14:00,22 Mar 15:00,22 Mar 16:00,22 Mar 17:00,22 Mar 18:00,22 Mar 19:00,22 Mar 20:00,22 Mar 21:00,22 Mar 22:00,23 Mar 08:00,23 Mar 09:00,23 Mar 10:00,23 Mar 11:00,23 Mar 12:00,23 Mar 13:00,23 Mar 14:00,23 Mar 15:00,23 Mar 16:00,23 Mar 17:00,23 Mar 18:00,23 Mar 19:00,23 Mar 20:00,23 Mar 21:00,23 Mar 22:00,24 Mar 08:00,24 Mar 09:00,24 Mar 10:00,24 Mar 11:00,24 Mar 12:00,24 Mar 13:00,24 Mar 14:00,24 Mar 15:00,24 Mar 16:00,24 Mar 17:00,24 Mar 18:00,24 Mar 19:00,24 Mar 20:00,24 Mar 21:00,24 Mar 22:00,25 Mar 08:00,25 Mar 09:00,25 Mar 10:00,25 Mar 11:00,25 Mar 12:00,25 Mar 13:00,25 Mar 14:00,25 Mar 15:00,25 Mar 16:00,25 Mar 17:00,25 Mar 18:00,25 Mar 19:00,25 Mar 20:00,25 Mar 21:00,25 Mar 22:00
30.792798,39.5043,42.907336,43.378436,42.923344,42.791495,42.390373,42.017016,39.641454,32.681531,16.481429,5.328383,4.170014,3.272395,2.721406,28.451292,36.734683,40.077822,39.732209,37.152751,37.586165,36.255463,33.179328,30.608788,24.533212,15.973247,6.029975,5.041882,3.381629,2.748415,30.291545,38.31262,41.695533,43.401964,43.242238,41.364059,42.623046,42.076413,39.88046,33.163102,17.692735,6.798804,6.639283,6.34815,6.17347,33.456996,41.422629,45.496338,46.653061,46.553505,45.592843,45.45923,44.308393,41.545167,34.306,18.757037,8.688755,7.512681,6.115243,4.717806,31.46252,37.81307,43.651422,44.959793,42.700419,41.432006,44.097829,43.043795,34.680033,22.453987,13.872878,12.353866,12.143709,11.591149,12.973524,31.258914,37.644097,43.790079,48.256898,47.014995,44.416703,43.865076,40.137148,40.063817,33.440001,18.194273,8.898503,7.883576,7.825349,8.537601,34.503502,43.767266,47.992166,48.661374,45.835263,45.293229,43.726637,42.663406,40.082996,35.616933,18.932241,8.898503,8.654054,8.404671,8.404671
30.967596,39.507982,42.758577,43.112935,42.596326,42.4479,42.084178,41.809549,39.60782,32.882747,16.946664,5.889972,4.700153,3.796589,3.254367,28.555769,36.66019,39.809952,39.261585,36.461211,36.813161,35.399332,32.485458,30.073032,24.368755,16.122661,6.382435,5.405264,3.806575,3.198516,30.367021,38.201239,41.446489,43.069952,42.853487,40.910749,42.264856,41.815558,39.799564,33.324491,18.11465,7.292432,7.118947,6.815686,6.633729,33.536543,41.317345,45.277805,46.338819,46.191661,45.188737,45.10616,44.053028,41.436752,34.445779,19.170085,9.241032,8.028729,6.573077,5.117425,31.411214,37.456081,42.926592,43.963309,41.598918,40.384749,43.164655,42.345446,34.264673,22.392942,14.064119,12.559775,12.286335,11.771667,13.073773,31.138922,37.296583,43.330746,47.619337,46.354418,43.606747,43.039361,39.565925,39.638277,33.289025,18.394459,9.264403,8.296796,8.236144,8.901231,34.383455,43.410861,47.621961,48.198319,45.236083,44.67423,43.169435,42.20375,39.786539,35.641498,19.157724,9.264403,9.022535,8.781827,8.781827
31.113787,39.511062,42.634162,42.890885,42.322826,42.160537,41.828093,41.636036,39.579691,33.051033,17.335759,6.359653,5.14353,4.234995,3.700105,28.643148,36.597889,39.585921,38.867983,35.882847,36.166666,34.683313,31.905146,29.624956,24.231212,16.247621,6.677212,5.709176,4.161975,3.574955,30.430145,38.108087,41.238204,42.792277,42.528359,40.531627,41.965287,41.597393,39.731907,33.459467,18.467516,7.705274,7.52011,7.206706,7.018664,33.603071,41.229292,45.095037,46.076006,45.889035,44.850766,44.810872,43.839455,41.34608,34.562682,19.515534,9.702924,8.460322,6.955983,5.451644,31.368305,37.157515,42.320385,43.129908,40.677685,39.508885,42.384203,41.761388,33.91729,22.341888,14.224061,12.731985,12.405619,11.922641,13.157616,31.038568,37.005943,42.946587,47.086118,45.801949,42.929347,42.348782,39.088188,39.282381,33.162758,18.561883,9.570422,8.642389,8.579708,9.205351,34.283056,43.112785,47.312343,47.811047,44.734963,44.156536,42.703424,41.819321,39.538599,35.662043,19.346306,9.570422,9.330712,9.097258,9.097258
31.392789,39.516939,42.39672,42.467107,41.800857,41.612109,41.339361,41.304888,39.526007,33.372204,18.07834,7.25603,5.989708,5.071684,4.550789,28.809908,36.478989,39.158361,38.1168,34.779049,34.932839,33.316803,30.797629,28.76981,23.968714,16.486107,7.23979,6.289186,4.840251,4.293381,30.550616,37.930307,40.840693,42.262337,41.907857,39.808079,41.393565,41.18103,39.602785,33.717066,19.140955,8.493175,8.285724,7.952962,7.753304,33.73004,41.061243,44.746228,45.574431,45.31148,44.205754,44.247321,43.431856,41.173034,34.78579,20.174817,10.584438,9.28401,7.686752,6.089494,31.286414,36.587708,41.163451,41.539376,38.919528,37.837312,40.894722,40.646722,33.254314,22.244452,14.529309,13.060645,12.633271,12.210774,13.317628,30.847044,36.451262,42.213424,46.068478,44.747572,41.63654,41.030822,38.176434,38.603159,32.921778,18.881409,10.154452,9.301948,9.235396,9.785758,34.091444,42.543911,46.721442,47.071945,43.778584,43.168524,41.814049,41.085645,39.065411,35.701253,19.706211,10.154452,9.918862,9.699253,9.699253
31.717633,39.523782,42.120266,41.973701,41.193126,40.973574,40.770328,40.919331,39.463502,33.746145,18.942929,8.299685,6.974916,6.045844,5.541242,29.004068,36.340552,38.660551,37.242195,33.493895,33.496292,31.725771,29.508145,27.774162,23.663087,16.763777,7.8948,6.964493,5.62997,5.129847,30.690881,37.723318,40.377871,41.645328,41.185405,38.96565,40.727907,40.696256,39.452448,34.01699,19.925042,9.410531,9.17713,8.821829,8.608648,33.877869,40.865584,44.340108,44.990447,44.63903,43.454765,43.591176,42.957287,40.971557,35.045554,20.942423,11.610787,10.243032,8.537588,6.832145,31.191067,35.924279,39.816429,39.687515,36.872502,35.891095,39.160515,39.348913,32.48241,22.131007,14.884709,13.443305,12.898327,12.546247,13.50393,30.624052,35.805444,41.359801,44.883637,43.519958,40.131321,39.496317,37.114877,37.812338,32.641205,19.253434,10.834441,10.069874,9.998814,10.461527,33.868351,41.88157,46.033454,46.211407,42.665069,42.018179,40.778548,40.231423,38.514476,35.746904,20.125249,10.834441,10.603647,10.400158,10.400158
30.841649,39.505329,42.865762,43.304235,42.831951,42.695468,42.304799,41.959034,39.632054,32.737766,16.611451,5.485333,4.318174,3.418894,2.870355,28.480491,36.713864,40.00296,39.600682,36.959483,37.37013,36.016196,32.985409,30.459058,24.487251,16.015004,6.128479,5.143438,3.500391,2.874207,30.312639,38.281492,41.625932,43.309175,43.133592,41.23737,42.522941,42.003511,39.857852,33.208206,17.810649,6.936761,6.773336,6.478814,6.302101,33.479227,41.393205,45.435264,46.565238,46.452379,45.479906,45.360556,44.237025,41.514868,34.345065,18.872474,8.843102,7.656903,6.243196,4.82949,31.448182,37.713301,43.44885,44.681301,42.392578,41.139324,43.837031,42.848624,34.563951,22.436926,13.926325,12.411412,12.183569,11.6416,13.001541,31.225379,37.546976,43.661707,48.078716,46.830381,44.190341,43.63431,39.977506,39.944889,33.397807,18.25022,9.000763,7.99906,7.940156,8.639226,34.469952,43.66766,47.888703,48.531962,45.667807,45.120235,43.570913,42.534944,40.000144,35.623798,18.995258,9.000763,8.757035,8.510077,8.510077
30.963739,39.507901,42.761859,43.118793,42.603541,42.455481,42.090934,41.814127,39.608562,32.878308,16.936399,5.877581,4.688456,3.785023,3.242608,28.553464,36.661834,39.815862,39.271969,36.476469,36.830217,35.418222,32.500768,30.084853,24.372384,16.119364,6.374658,5.397247,3.797199,3.188585,30.365356,38.203697,41.451984,43.077278,42.862065,40.920751,42.272759,41.821313,39.801349,33.32093,18.105341,7.28154,7.108363,6.80537,6.623574,33.534788,41.319668,45.282627,46.345753,46.199645,45.197653,45.11395,44.058662,41.439144,34.442695,19.160971,9.228846,8.017343,6.562976,5.108608,31.412346,37.463957,42.942584,43.985296,41.623221,40.407856,43.185245,42.360855,34.273838,22.394289,14.059899,12.555232,12.283188,11.767684,13.071562,31.14157,37.304251,43.340881,47.633404,46.368993,43.624618,43.05758,39.578529,39.647667,33.292357,18.390042,9.25633,8.287678,8.22708,8.893208,34.386104,43.418725,47.630129,48.208536,45.249303,44.687888,43.181729,42.213892,39.79308,35.640956,19.152749,9.25633,9.014405,8.773505,8.773505
31.164288,39.512126,42.591184,42.814179,42.228347,42.061268,41.73963,41.576096,39.569974,33.109167,17.47017,6.521902,5.296693,4.38644,3.854083,28.673332,36.576368,39.50853,38.732015,35.683054,35.943337,34.435967,31.704679,29.47017,24.183699,16.290789,6.779042,5.814161,4.284747,3.704994,30.451951,38.075908,41.166252,42.696355,42.416045,40.400661,41.861803,41.522029,39.708535,33.506094,18.589412,7.847888,7.65869,7.341782,7.151637,33.626053,41.198874,45.031901,45.985218,45.784495,44.734015,44.708866,43.765678,41.314758,34.603066,19.634868,9.862483,8.609414,7.088256,5.567098,31.353482,37.054377,42.110974,42.842014,40.35945,39.206321,42.114599,41.559627,33.797288,22.324251,14.279313,12.791474,12.446825,11.974795,13.186579,31.003901,36.905543,42.81388,46.90192,45.611102,42.695342,42.110224,38.923156,39.159438,33.119139,18.619719,9.676134,8.761773,8.698391,9.310407,34.248373,43.009816,47.205387,47.677266,44.561853,43.9777,42.542442,41.686522,39.45295,35.66914,19.411451,9.676134,9.43717,9.206222,9.206222
31.39259,39.516935,42.39689,42.467409,41.801229,41.612501,41.33971,41.305124,39.526045,33.371975,18.07781,7.25539,5.989104,5.071087,4.550181,28.809789,36.479073,39.158666,38.117336,34.779837,34.93372,33.317778,30.79842,28.770421,23.968902,16.485937,7.239388,6.288772,4.839767,4.292868,30.55053,37.930434,40.840977,42.262716,41.9083,39.808595,41.393973,41.181327,39.602878,33.716882,19.140474,8.492613,8.285177,7.952429,7.75278,33.729949,41.061363,44.746477,45.574789,45.311892,44.206214,44.247723,43.432147,41.173158,34.78563,20.174347,10.583809,9.283422,7.68623,6.089039,31.286472,36.588114,41.164277,41.540512,38.920783,37.838505,40.895785,40.647517,33.254787,22.244521,14.529091,13.06041,12.633109,12.210568,13.317514,30.847181,36.451658,42.213948,46.069204,44.748325,41.637463,41.031762,38.177085,38.603644,32.92195,18.881181,10.154035,9.301477,9.234928,9.785343,34.091581,42.544318,46.721864,47.072473,43.779266,43.169229,41.814684,41.086168,39.065748,35.701225,19.705954,10.154035,9.918443,9.698823,9.698823
31.687475,39.523147,42.145931,42.019508,41.249548,41.032855,40.823156,40.955126,39.469305,33.711428,18.862662,8.202793,6.883451,5.955404,5.449289,28.986042,36.353404,38.706768,37.323392,33.613207,33.62966,31.873481,29.62786,27.866597,23.691461,16.737998,7.83399,6.901798,5.556653,5.05219,30.677859,37.742535,40.420839,41.702611,41.252477,39.04386,40.789707,40.741262,39.466406,33.989145,19.852248,9.325364,9.094372,8.741164,8.529239,33.864145,40.883749,44.377812,45.044663,44.70146,43.524486,43.652092,43.001345,40.990262,35.021438,20.871159,11.515502,10.153997,8.458597,6.763198,31.199919,35.985871,39.941485,39.859441,37.062546,36.07178,39.321518,39.469401,32.554073,22.141539,14.851714,13.407779,12.87372,12.515102,13.486634,30.644755,35.865401,41.439051,44.993637,43.633929,40.271064,39.638779,37.213431,37.885758,32.667253,19.218896,10.771311,9.998581,9.927939,10.398789,33.889062,41.943062,46.097327,46.291298,42.768447,42.124976,40.874683,40.310728,38.565624,35.742666,20.086346,10.771311,10.540072,10.335086,10.335086
