21 Mar 07:00,21 Mar 08:00,21 Mar 09:00,21 Mar 10:00,21 Mar 11:00,21 Mar 12:00,21 Mar 13:00,21 Mar 14:00,21 Mar 15:00,21 Mar 16:00,21 Mar 17:00,21 Mar 18:00,21 Jun 04:00,21 Jun 05:00,21 Jun 06:00,21 Jun 07:00,21 Jun 08:00,21 Jun 09:00,21 Jun 10:00,21 Jun 11:00,21 Jun 12:00,21 Jun 13:00,21 Jun 14:00,21 Jun 15:00,21 Jun 16:00,21 Jun 17:00,21 Jun 18:00,21 Jun 19:00,21 Jun 20:00,21 Jun 21:00,21 Sep 07:00,21 Sep 08:00,21 Sep 09:00,21 Sep 10:00,21 Sep 11:00,21 Sep 12:00,21 Sep 13:00,21 Sep 14:00,21 Sep 15:00,21 Sep 16:00,21 Sep 17:00,21 Sep 18:00,21 Dec 09:00,21 Dec 10:00,21 Dec 11:00,21 Dec 12:00,21 Dec 13:00,21 Dec 14:00,21 Dec 15:00
0.048168,0.168554,0.310042,0.433382,0.512642,0.540478,0.527436,0.468432,0.328399,0.067982,0.048956,0.023614,0,0.029339,0.074676,0.180234,0.245289,0.281046,0.286366,0.313417,0.355283,0.334601,0.285074,0.272437,0.269769,0.171744,0.073374,0.045647,0.022088,0.004664,0.064667,0.203289,0.313533,0.369772,0.40239,0.398497,0.361081,0.292854,0.201186,0.076799,0.04838,0.016845,0,0.030854,0.064603,0.084691,0.075543,0.054186,0.024645
0.048999,0.169652,0.310963,0.434119,0.513277,0.541062,0.528,0.468988,0.328938,0.06848,0.049312,0.02377,0,0.03032,0.08722,0.188312,0.24795,0.282733,0.28761,0.314429,0.356233,0.335515,0.285934,0.273241,0.270442,0.172295,0.073857,0.045993,0.022189,0.004686,0.065566,0.204353,0.314415,0.370499,0.403053,0.399109,0.361637,0.293347,0.201721,0.077266,0.04867,0.016973,0,0.031163,0.065034,0.085101,0.075909,0.054464,0.024765
0.048733,0.169057,0.310162,0.433207,0.512265,0.539907,0.526568,0.467036,0.326178,0.065088,0.046762,0.023104,0,0.030437,0.087062,0.187573,0.246961,0.281251,0.285835,0.312469,0.35377,0.33224,0.281281,0.266043,0.222615,0.149953,0.060037,0.043023,0.021673,0.004608,0.065263,0.203704,0.313567,0.369515,0.401882,0.397772,0.360122,0.291203,0.198307,0.073326,0.046346,0.016353,0,0.030725,0.064229,0.084144,0.074906,0.053526,0.024261
0.049326,0.169843,0.310836,0.433755,0.512725,0.540291,0.526842,0.467111,0.325921,0.064415,0.046019,0.022993,0,0.042067,0.109039,0.191224,0.249368,0.282639,0.286743,0.313097,0.354152,0.332242,0.280608,0.264085,0.195418,0.078165,0.058631,0.042674,0.021633,0.00461,0.065899,0.204469,0.314212,0.370046,0.402333,0.398131,0.360355,0.291105,0.197781,0.072323,0.045628,0.01624,0,0.030962,0.064514,0.084364,0.075054,0.053569,0.024229
0.049088,0.16951,0.310529,0.433484,0.512489,0.540103,0.526752,0.46722,0.326365,0.06527,0.046896,0.023149,0,0.036182,0.106839,0.189369,0.248109,0.281894,0.286259,0.312787,0.354049,0.3325,0.28153,0.266281,0.222829,0.150127,0.060187,0.043121,0.021694,0.004613,0.065635,0.20414,0.313913,0.369782,0.402108,0.397969,0.360304,0.291362,0.198482,0.073466,0.046428,0.016398,0,0.030828,0.064357,0.084259,0.075005,0.053601,0.02429
0.048912,0.169238,0.310232,0.433182,0.512163,0.539726,0.526264,0.466528,0.325356,0.063904,0.045667,0.022848,0,0.034824,0.105754,0.189105,0.247791,0.281452,0.285726,0.312177,0.353238,0.331339,0.279747,0.26328,0.194747,0.077617,0.058149,0.042323,0.021528,0.004587,0.065446,0.20386,0.31361,0.369461,0.401733,0.39753,0.359782,0.290611,0.197244,0.071855,0.045338,0.016118,0,0.030704,0.064125,0.083967,0.074687,0.053286,0.024105
0.048437,0.168457,0.309381,0.432297,0.511184,0.538534,0.524611,0.463951,0.266145,0.060828,0.044205,0.022471,0,0.029997,0.086185,0.186251,0.245608,0.279588,0.283935,0.310352,0.350969,0.328222,0.275296,0.257699,0.19063,0.07554,0.056928,0.041583,0.021269,0.004534,0.064902,0.203057,0.312736,0.368519,0.400602,0.396131,0.357979,0.28777,0.154612,0.068855,0.044114,0.015816,0,0.03028,0.063359,0.083041,0.073662,0.052309,0.023671
0.048713,0.169016,0.310101,0.433107,0.512079,0.539552,0.525859,0.465627,0.268481,0.063589,0.046047,0.02292,0,0.030377,0.08694,0.187367,0.246758,0.280976,0.285478,0.312,0.352972,0.330825,0.278943,0.263256,0.235775,0.079442,0.059456,0.043456,0.021623,0.004591,0.065216,0.203658,0.313494,0.369386,0.401622,0.397294,0.359294,0.289563,0.15745,0.071965,0.045734,0.01622,0,0.030675,0.064058,0.083849,0.074504,0.053082,0.024058
0.048437,0.168457,0.309381,0.432297,0.511184,0.538534,0.524611,0.463951,0.266145,0.060828,0.044205,0.022471,0,0.029997,0.086185,0.186251,0.245608,0.279588,0.283935,0.310352,0.350969,0.328222,0.275296,0.257699,0.19063,0.07554,0.056928,0.041583,0.021269,0.004534,0.064902,0.203057,0.312736,0.368519,0.400602,0.396131,0.357979,0.28777,0.154612,0.068855,0.044114,0.015816,0,0.03028,0.063359,0.083041,0.073662,0.052309,0.023671
0.048844,0.168985,0.309809,0.432625,0.511459,0.538782,0.52484,0.464149,0.266274,0.06083,0.044039,0.022457,0,0.039777,0.106486,0.189266,0.247537,0.280634,0.284567,0.310766,0.351239,0.328341,0.275212,0.257273,0.18965,0.074184,0.055402,0.040586,0.021164,0.004529,0.065337,0.203568,0.31314,0.368834,0.400872,0.396374,0.358199,0.287869,0.15463,0.068699,0.043878,0.015752,0,0.03043,0.063541,0.083188,0.073784,0.052384,0.023669
